timestep,time,region,model,b0,q,alpha,k,g,r0,b,MSE,MAE,NRMSE,normalized_residual,AIC,Rrope,n_points_inside
0024,2.86248719980937,apex,Lundquist,0.9761939364960961,,0.5,,,,,0.014317313592540824,0.09368117232255707,0.17338730359592538,0.015112719903237534,-157.35885786406266,0.44627811167003845,19
0024,2.86248719980937,apex,Exponential,0.9758155128348112,,,0.014843415979260671,0.7091364498854443,,,0.00014846230329338062,0.009819243241301397,0.01765609354427247,0.00016118764357567035,-328.9768200533198,0.44627811167003845,19
0024,2.86248719980937,apex,Step-like,0.9757812389352678,,,,0.99,1.0,0.05,0.0001666679904505115,0.010837809780037722,0.018707365161838355,0.0001862759893270422,-322.5812583824711,0.44627811167003845,19
0025,2.98175749980142,footpoint,Gold-Hoyle,0.9440260411191336,0.0028313886229856733,,,,,,0.000393135431773724,0.014029849031662368,0.029690168329443278,0.0004422773607454395,-137.14441507048153,0.3,9
0025,2.98175749980142,footpoint,Lundquist,0.9445206338608738,,0.5,,,,,0.01304668271248311,0.08703828244916313,0.1710376090180549,0.014677518051543501,-74.10598476310042,0.3,9
0025,2.98175749980142,footpoint,Exponential,0.9440286005401397,,,0.01,0.7094630133557376,,,0.0003944931588376966,0.01428822997266646,0.029741392916809033,0.0004733917906052359,-135.0823576195762,0.3,9
0025,2.98175749980142,footpoint,Step-like,1.0079037586281188,,,,0.8772488036253232,0.1,0.05,0.00039478867879827706,0.01399202199304666,0.029752530663637283,0.0005075854441692133,-133.06887863330817,0.3,9
0025,2.98175749980142,apex,Gold-Hoyle,0.9769071074492939,0.008935713443447202,,,,,,0.0001416385712364696,0.009676889193066935,0.01722645920564402,0.00015049098193874898,-297.31588837398755,0.4221185900996528,17
0025,2.98175749980142,apex,Lundquist,0.9774067604380662,,0.5,,,,,0.014218650370557825,0.09325004277476882,0.17259747543583082,0.015107316018717688,-140.60882616949246,0.4221185900996528,17
0025,2.98175749980142,apex,Exponential,0.9769086809527502,,,0.01651126992409294,0.7066490935341725,,,0.00014163801985502445,0.009677048798771324,0.01722642567537351,0.00015534492500228486,-295.3160207320404,0.4221185900996528,17
0025,2.98175749980142,apex,Step-like,1.0665602505318987,,,,0.8389009276715383,0.10745670260450363,0.16580000829886957,0.0001495520538145223,0.010108015226938119,0.017701148365901566,0.00016949232765645862,-291.4674451219754,0.4221185900996528,17
0026,3.10102779979348,footpoint,Gold-Hoyle,0.9434970737120116,0.003219294637997277,,,,,,0.0004048119872028012,0.014392124500834004,0.030144347709877617,0.0004554134856031514,-136.61758085547274,0.3,9
0026,3.10102779979348,footpoint,Lundquist,0.9440396320390074,,0.5,,,,,0.012999710972610748,0.08675636078976759,0.17082288676898466,0.014624674844187089,-74.17090678220465,0.3,9
0026,3.10102779979348,footpoint,Exponential,0.943499590174428,,,0.01,0.7104249363392294,,,0.00040577980658732606,0.014551917679270542,0.030180360560787687,0.0004869357679047913,-134.57459804392687,0.3,9
0026,3.10102779979348,footpoint,Step-like,1.0076192158681039,,,,0.8767594745199097,0.1,0.05,0.00040694744353571993,0.014366363692966956,0.030223751568989946,0.0005232181416887828,-132.52287717575916,0.3,9
0026,3.10102779979348,apex,Gold-Hoyle,0.9770693459643055,0.009777945118099422,,,,,,0.0001448997190679344,0.00989730476375109,0.017420761668992035,0.0001539559515096803,-296.54193377828574,0.4221185974097717,17
0026,3.10102779979348,apex,Lundquist,0.9776692427640241,,0.5,,,,,0.01412792701703284,0.09284667331811441,0.17201748309079673,0.015010922455597391,-140.82646123065618,0.4221185974097717,17
0026,3.10102779979348,apex,Exponential,0.977070945386175,,,0.018034968828813985,0.7056299881620404,,,0.00014489894324789453,0.009897450533609464,0.017420715031930937,0.00015892142162672306,-294.5421158210941,0.4221185974097717,17
0026,3.10102779979348,apex,Step-like,1.064770238308384,,,,0.8419946646921153,0.1,0.2236908529804511,0.00015576817060038866,0.010415191507173,0.018062286523696815,0.00017653726001377382,-290.0828190073649,0.4221185974097717,17
0027,3.22029809978554,footpoint,Gold-Hoyle,0.9437356388809983,0.0037980738193969616,,,,,,0.00040527493387473217,0.014509275521124394,0.030153974856921815,0.0004559343006090737,-136.59700765335202,0.3,9
0027,3.22029809978554,footpoint,Lundquist,0.94433996101645,,0.5,,,,,0.01294921600925691,0.08653002948884106,0.17044781343911114,0.014567868010414027,-74.24096058351851,0.3,9
0027,3.22029809978554,footpoint,Exponential,0.9437372768812415,,,0.01,0.7095967795311808,,,0.00040579953937193084,0.01461544299891447,0.030173484853444968,0.00048695944724631694,-134.5737227379599,0.3,9
0027,3.22029809978554,footpoint,Step-like,1.007847404865104,,,,0.876802432677277,0.1,0.05,0.0004082508238883642,0.014466291370608921,0.030264481057468057,0.0005248939164278967,-132.46531850023507,0.3,9
0027,3.22029809978554,apex,Gold-Hoyle,0.9786590389297635,0.009639383628134776,,,,,,0.00013003848230628128,0.009395290456625125,0.016476673557546413,0.00013870771446003336,-282.3257640282446,0.40950373285731445,16
0027,3.22029809978554,apex,Lundquist,0.9792605218067816,,0.5,,,,,0.014155206627234249,0.09273248366105341,0.17190626238687812,0.015098887069049867,-132.24552841538858,0.40950373285731445,16
